user,tweet,sentiment_label,sentiment_score,emotion_label,emotion_score
Samantha_Star,@Zevia My local store only carries a couple of the flavors  Hopefully they'll carry more of them soon! I'll tell the manager to get on it.,positive,0.726302981376648,optimism,0.8291811347007751
lamchekyeow,Tempted to take a cab.. But bus just nice came... Lol.. A lot of things in my mind again.. Need more Faith  - http://tweet.sg,positive,0.6149751543998718,optimism,0.946256160736084
Patticanflyy,"@dougiemcfly but ur hawt, so its okay ",positive,0.7288005948066711,joy,0.9507858753204346
phillipquin,Eyes heavy. All this staying up till midnight and getting up at 6:30 is catching up to me. Does that mean I'll stop doing it? Doubt it. ,negative,0.7389413118362427,sadness,0.5051998496055603
ashleyestill,Sitting 15 feet away from King James...I think he has diamond cuff links  http://twitpic.com/7ihfy,neutral,0.803307294845581,anticipation,0.8097660541534424
divadivachrissy,Still up ! But gettin sleepy I still don't feel good.....  I want my baby ! And happy mothers day !!!!! And to my mommy hope u get better,positive,0.3836722671985626,sadness,0.9257283806800842
geekgirl444,"@hambers To cut a long story short, I want one badly, but someone keeps tutting. End of. ",negative,0.8187122344970703,anger,0.8878105878829956
NadiaFN,@bill_archie Haha it's ok. Glad everything's good. Happy always! Woohoo! ,positive,0.9851698279380798,joy,0.9891462326049805
alexwilliamson,ordered pizza.... have to wait 45mins for it....   no alcohol absorption for me just yet..,negative,0.5334468483924866,disgust,0.6628029942512512
Mol7,"@LisaMcP Oh no that's awful, I thought you'd cracked it the other week when you had a brainwave about helping her avoid getting upset ",negative,0.8632566332817078,anger,0.9662458300590515
byronrode,@acidicice fantasy? i are confused now. oh. morning ,negative,0.7940706014633179,sadness,0.3101813495159149
Caronnnnn,@Rachel_Sneddon aw no is your phone broke as well now? ,negative,0.8199219703674316,sadness,0.8763886094093323
mavissin,"is attending a fabulous, enligtening, entertaining, engaging talk now! Really received alot! Whooo hooo!! ",positive,0.9918792843818665,joy,0.9910740256309509
cwire4,Need to wash clothes blah ,negative,0.5396355390548706,sadness,0.9261723756790161
BecomingBella,"@LionEdward same here, thanks.  what are you doing? are you busy? ",positive,0.6515130996704102,anticipation,0.40546777844429016
waxmerchant,Got off the toilet and started walking and almost broke my neck.....foot fell asleep on me ,negative,0.8004311323165894,fear,0.8722924590110779
FatBottomedGirl,- my feet are 3 times their normal size and puffing out of my sandals. ,negative,0.5283567905426025,sadness,0.36222749948501587
Deanmcken,"ipod, as usual. thinkin. erm bored ",neutral,0.5979271531105042,sadness,0.9003965258598328
Goldbergblack,"This puppy at work wants my attention so bad,  but when I try to pet him, he runs away...   ",negative,0.7811042070388794,anger,0.7438297867774963
BarelyBritt,"@revii Thanks, I've always liked the name Elizabeth ",positive,0.9587164521217346,joy,0.9832973480224609
fauxpunk,UGH my throat hurts ,negative,0.8840897679328918,sadness,0.977931797504425
gee_mon,so gonna have a major spn marathon today... to make up for the fact that im poor and will never afford a convention pass for j2! ,neutral,0.39263415336608887,sadness,0.7769845724105835
amor8,@mrsokie  I have a horror story of a Taurus.  Spent $4K on it before it was 5 yrs old. ,negative,0.48658981919288635,fear,0.9803134799003601
jennyweir13,"Ok, more motivated now, got food, will eat then off to costco.  Still a gray day though ",positive,0.7297760844230652,optimism,0.9026469588279724
ShawnKing,Cool! The Marines Motorcycle Safety Instructor at Quantico wants to use my bald tire pic in his safety class. ,positive,0.9182971715927124,joy,0.9844756722450256
iAslin,I'm feeling pretty! Going out with Tina ,positive,0.9781718254089355,joy,0.9926546812057495
wizdomlakers,@OGVENOE I can't die  I have a lunch date with rocio coming up plus some new shoes UGH!,positive,0.9013806581497192,joy,0.9526797533035278
Heather1Lynn,"Good morning! Its tuesday. Automatically better than Monday. Almost payday, and closer to the weekend. ",positive,0.9886071085929871,joy,0.9668761491775513
wolfcat,@marcfennell saying you are not a stalker just makes you more of a stalker ,negative,0.7226800918579102,anger,0.7295313477516174
JLM_76,@RobFarva I'm jealous!! Must be nice ,positive,0.3914588391780853,joy,0.9461153745651245
craziiloserr,maybe i shouldnt have ran like that! effect: twisted foot! ,negative,0.7935221791267395,sadness,0.7065480351448059
VolcomVan,@hotpants79 In two months i will have something of the kinf of prom  and i'm really excited! and you haven't any contact to her?,positive,0.9760296940803528,joy,0.9606310725212097
Jewels_09,melbourne on thursday! syyyyke ,neutral,0.526863157749176,joy,0.5467777252197266
DeadForGH,sorry for not posting so many updates   been busy...,negative,0.6466713547706604,sadness,0.9774568676948547
ooohDay,baking cookies ,neutral,0.8602002263069153,joy,0.923628032207489
AlyssaVowells,@lilyroseallen Lily makes my life so fucking fantastic! ,positive,0.9831078052520752,joy,0.9870545864105225
